STATE,YEAR,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,PROGRAM_CURRENT_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,PROGRAM_OTHER_EXPENDITURE,PROGRAM_NON_ELSEC_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE
Massachusetts,1996,7129757,302167,3028094,3799496,7479576,6330966,4171772,1953199,205995,15887,360126
Michigan,1996,13012080,648922,8462687,3900471,13071893,10983521,6452165,4205956,325400,366488,919074
Minnesota,1996,6101416,241241,3435468,2424707,6423285,4920385,3204906,1522656,192823,358652,762106
Mississippi,1996,2241561,295014,1285429,661118,2268726,1997724,1238512,599427,159785,6568,231093
Missouri,1996,5251014,324566,2536393,2390055,5277785,4465123,2745318,1521493,198312,85304,568575
Montana,1996,944623,90354,452250,402019,924259,862024,538091,289907,34026,3344,48074
Nebraska,1996,1909834,100886,574359,1234589,1940808,1633660,1067391,497288,68981,2057,247543
Nevada,1996,1551169,67278,997400,486491,1608989,1294437,767237,483238,43962,9071,229949
New Hampshire,1996,1269380,40622,84837,1143921,1295106,1103901,725549,340457,37895,4279,97166
New Jersey,1996,12389781,408872,4589725,7391184,12469216,11025714,6636622,4099193,289899,179659,753213
New Mexico,1996,1750519,215525,1281567,253427,1642517,1396784,798365,519816,78603,3274,218014
New York,1996,26026366,1510447,10284155,14231764,26974514,23558591,15973623,6953428,631540,310816,1835923
North Carolina,1996,6516400,443121,3971818,2101461,6517111,5671076,3527936,1780725,362415,39854,687268
North Dakota,1996,655971,69370,267306,319295,657809,556075,338326,169545,48204,4252,52160
Ohio,1996,12172778,704629,4831397,6636752,11935582,10735222,6291682,4046180,397360,134705,843253
Oklahoma,1996,3185234,278281,1856294,1050659,3195426,2773901,1640558,948125,185218,114702,255103
Oregon,1996,3375710,192228,1822648,1360834,3509765,3088963,1879638,1104418,104907,11317,305484
Pennsylvania,1996,14671368,760182,5629751,8281435,15048791,12499734,7960931,4101534,437269,143130,1195395
Rhode Island,1996,1135192,57826,459171,618195,1092459,1045591,699778,321959,23854,1077,20181
South Carolina,1996,3594408,287181,1870037,1437190,3493720,2999458,1820849,986157,192452,43290,367884
South Dakota,1996,710728,67493,209375,433860,689818,615754,383377,201190,31187,996,56451
Tennessee,1996,4131853,340239,1967170,1824444,4284181,3702777,2363545,1143373,195859,33988,460149
Texas,1996,22241369,1613462,9834742,10793165,22401797,18615963,11427564,6131290,1057109,117366,2667181
Utah,1996,2035726,134703,1197910,703113,2150719,1756582,1132806,471430,152346,1235,342609
Vermont,1996,965238,36693,215657,712888,975817,664814,424562,219243,21009,2158,56478
Virginia,1996,6674519,361726,2548036,3764757,6903384,5880535,3601237,2045400,233898,114090,721139
Washington,1996,6354593,366716,4288899,1698978,6578388,5405043,3222598,1927517,254928,25286,895494
West Virginia,1996,1958647,158572,1222505,577570,1936848,1790570,1131846,556873,101851,28616,101350
Wisconsin,1996,6342623,270455,2869875,3202293,6521058,5619948,3567663,1872074,180211,32178,617334
Wyoming,1996,664057,41007,339629,283421,676305,581146,360100,200228,20818,1092,78444
Alabama,1997,3981788,376200,2498847,1106741,3963624,3423077,2095904,1075352,251821,72134,420070
Alaska,1997,1131950,145563,692364,294023,1237103,1060506,651935,372788,35783,5190,152330
Arizona,1997,4343262,405291,1907516,2030455,4432360,3463767,1977550,1252277,233940,31243,678793
Arkansas,1997,2355859,218137,1387107,750615,2379496,2103686,1291727,667439,144520,13817,192204
California,1997,35614934,2850766,20560730,12203438,33862281,29433596,18160435,10040400,1232761,560218,3088674
Colorado,1997,4133275,205038,1784304,2143933,4398196,3536756,2188731,1205308,142717,11458,678631
Connecticut,1997,4788489,158453,1719703,2910333,4642835,4216099,2709106,1368262,138731,26126,194220
Delaware,1997,898926,56722,575855,266349,889631,782369,486550,265674,30145,8876,73946
District of Columbia,1997,711625,73177,0,638448,686059,632953,337401,272058,23494,0,53106
Florida,1997,14363709,992226,7022561,6348922,14564750,11699548,6725833,4370182,603533,436657,2111449
Georgia,1997,8248199,534963,4471781,3241455,8483477,7206758,4504165,2274539,428054,57581,1056516
Hawaii,1997,1213792,95795,1088410,29587,1241375,1083474,685225,326596,71653,34197,123704
Idaho,1997,1200186,80754,747250,372182,1293705,1082885,680063,353044,49778,2221,178703
Illinois,1997,13929105,847818,4532935,8548352,13920593,11549175,6881301,4240388,427486,100383,1598074
Indiana,1997,7885141,305125,3783388,3796628,7325086,5915913,3630591,2029513,255809,79900,667028
Iowa,1997,3406582,153160,1646498,1606924,3485339,2869679,1752717,983324,133638,8363,295558
Kansas,1997,3029537,152455,1682302,1194780,2949608,2590908,1476664,959322,154922,25672,188156
Kentucky,1997,3842885,341901,2381664,1119320,3903139,3461314,2120583,1133417,207314,34823,324367
Louisiana,1997,4106095,478008,2087903,1540184,4027228,3660684,2205048,1176952,278684,24340,249895
